Receiver Time [s],Clock Bias [m],ClockDrift [m/s]
1421299138.2185168,0.0,0.0
1421299139.2185168,-46586.765863635694,-4.658213276850959
1421299140.2185168,-46617.05862541402,-30.06082243175309
1421299141.2185168,-46649.63322339149,-31.555870346396045
1421299142.2185168,-46680.74361902076,-31.36499210189729
1421299143.2185168,-46713.03308893115,-31.67388714910774
1421299144.2185168,-46744.33288678478,-31.571533616052804
1421299145.2185168,-46775.68056885036,-31.519612357299458
1421299146.2185168,-46807.05894911079,-31.491135641325283
1421299147.2185168,-46838.62416833944,-31.504385824190635
1421299148.2185168,-46870.590712792815,-31.578928067355854
1421299149.2185168,-46902.135606905285,-31.573901741058904
1421299150.2185168,-46933.38649851365,-31.529676219750307
1421299151.2185168,-46964.6643600644,-31.497348251089985
1421299152.2185168,-46996.15825416078,-31.496927890506647
1421299153.2185168,-47027.578508610044,-31.487998554215498
1421299154.2185168,-47059.63723002926,-31.552133315354393
1421299155.2185168,-47091.27840647111,-31.561860218148663
1421299156.2185168,-47122.97702739265,-31.576484103222796
1421299157.2185168,-47155.02193427579,-31.6257747467769
1421299158.2185168,-47187.04811685309,-31.66744797067858
1421299159.2185168,-47218.9706916795,-31.693832457386453
1421299160.2185168,-47250.78341304072,-31.70609474361962
1421299161.2185168,-47282.85272017791,-31.743537014687703
1421299162.2185168,-47314.95559314321,-31.780618067935073
1421299163.2185168,-47346.91223143542,-31.7988209795652
1421299164.2185168,-47379.0945070911,-31.838589264677925
1421299165.2185168,-47411.12225772275,-31.858262952961297
1421299166.2185168,-47443.28336094404,-31.88985455740605
1421299167.2185168,-47475.65474220093,-31.9402414534286
1421299168.2185168,-47507.943453582666,-31.97678192874527
1421299169.2185168,-47540.15811257134,-32.00177114178875
1421299170.2185168,-47572.81162059989,-32.070318996578585
1421299171.2185168,-47605.44601146345,-32.12969658045601
1421299172.2185168,-47638.009275491735,-32.175365818732324
1421299173.2185168,-47670.60192156485,-32.219347874967454
1421299174.2185168,-47703.11175512888,-32.24996581544264
1421299175.2185168,-47735.6139734012,-32.27654895058048
1421299176.2185168,-47768.47091204795,-32.33765672242755
1421299177.2185168,-47801.443148347935,-32.40444371202168
1421299178.2185168,-47834.14916673489,-32.43617950492937
1421299179.2185168,-47866.83856503128,-32.46281406959855
1421299180.2185168,-47899.620083826965,-32.496311249710935
1421299181.2185168,-47932.482525142084,-32.53476315244632
1421299182.2185168,-47965.072523595656,-32.54055685059655
1421299183.2185168,-47997.901330234236,-32.570750208058755
1421299184.2185168,-48030.64288194579,-32.58862336488453
1421299185.2185168,-48063.75127454988,-32.642941456197896
1421299186.2185168,-48096.21489906358,-32.6242112184761
1421299187.2185168,-48129.16374382593,-32.65813411444696
1421299188.2185168,-48162.225542342254,-32.70034096534282
1421299189.2185168,-48195.44985835178,-32.75512061106514
1421299190.2185168,-48228.55107923808,-32.79131077432092
1421299191.2185168,-48261.667520727045,-32.825299087551954
1421299192.2185168,-48294.59791637522,-32.83627974826864
1421299193.2185168,-48327.950716445055,-32.890249235157455
1421299194.2185168,-48361.08706755549,-32.91597445581576
1421299195.2185168,-48393.984159320804,-32.91399938688534
1421299196.2185168,-48427.396153306145,-32.96609336556935
1421299197.2185168,-48460.970647382885,-33.02972226934363
1421299198.2185168,-48494.38048852491,-33.069477182936446
1421299199.2185168,-48527.89835690748,-33.11639142337479
1421299200.2185168,-48561.303561136956,-33.14661519714257
