Receiver Time [s],Clock Bias [m],ClockDrift [m/s]
1424708578.3181183,0.0,0.0
1424708579.3181183,-49772.37413696336,-4.976742423027305
1424708580.3181183,-49882.82673377696,-110.28347986062836
1424708581.3181183,-49990.94782093089,-108.9850698038672
1424708582.3181183,-50098.29390824265,-108.2844484583447
1424708583.3181183,-50205.71024974517,-107.99620724243769
1424708584.3181183,-50312.530574307166,-107.67646963790101
1424708585.3181183,-50421.3337532969,-107.9358376858579
1424708586.3181183,-50529.59608960809,-108.00096522390747
1424708587.3181183,-50637.849745449916,-108.045404489064
1424708588.3181183,-50746.92051810579,-108.20684069630444
1424708589.3181183,-50856.28586122181,-108.37208566707864
1424708590.3181183,-50966.530109721716,-108.61664870811983
1424708591.3181183,-51076.032698385236,-108.7237984478131
1424708592.3181183,-51185.14800265806,-108.76797918572707
1424708593.3181183,-51294.624028155435,-108.84303928181895
1424708594.3181183,-51404.808400872615,-108.97744071609333
1424708595.3181183,-51514.73770406918,-109.06819651838734
1424708596.3181183,-51625.335801231304,-109.20779630267592
1424708597.3181183,-51735.943876942496,-109.33072020036985
1424708598.3181183,-51847.17107193004,-109.49172313184978
1424708599.3181183,-51958.44538754604,-109.63883575132867
1424708600.3181183,-52069.91049420266,-109.7860238014644
1424708601.3181183,-52181.03196515346,-109.891549819735
1424708602.3181183,-52292.756859387315,-110.03400170450979
1424708603.3181183,-52404.73743258974,-110.18309869798571
1424708604.3181183,-52516.75425821101,-110.32184620867828
1424708605.3181183,-52628.791075052664,-110.45021543115644
1424708606.3181183,-52741.00272645707,-110.58087636699335
1424708607.3181183,-52854.38379272862,-110.78704685079448
1424708608.3181183,-52967.19538284919,-110.93518698005565
1424708609.3181183,-53080.12963676382,-111.0806888445932
1424708610.3181183,-53193.64747940519,-111.25736905032063
1424708611.3181183,-53306.95318568213,-111.40538564529322
1424708612.3181183,-53420.685957717884,-111.57307043603583
1424708613.3181183,-53542.55752630669,-112.18741537217936
1424708614.3181183,-53657.358287569186,-112.58206620459246
1424708615.3181183,-53773.47961771422,-113.16447276703951
1424708616.3181183,-53888.848253791046,-113.52322582921099
1424708617.3181183,-54003.94311054846,-113.77650457692707
1424708618.3181183,-54119.220140875914,-114.01490893586667
1424708619.3181183,-54234.369537774546,-114.1954027565695
1424708620.3181183,-54349.54328910465,-114.36083631403245
1424708621.3181183,-54464.222959777144,-114.40962929969994
1424708622.3181183,-54579.27027693155,-114.51573901769342
1424708623.3181183,-54694.49763014818,-114.637924425838
1424708624.3181183,-54809.39212879729,-114.68288652637611
1424708625.3181183,-54924.50137202133,-114.75591865060576
1424708626.3181183,-55039.56733880067,-114.80641338666676
1424708627.3181183,-55154.332891639,-114.79800577910106
1424708628.3181183,-55269.56381280401,-114.87351534636608
1424708629.3181183,-55384.691882272,-114.91465008854844
1424708630.3181183,-55500.00591013836,-114.98215549943022
1424708631.3181183,-55615.79399404573,-115.11994274623196
1424708632.3181183,-55731.125044766064,-115.15829267800947
1424708633.3181183,-55846.55456241235,-115.2033189704783
1424708634.3181183,-55961.694229850385,-115.19386492884422
1424708635.3181183,-56076.56776892948,-115.13753692883849
1424708636.3181183,-56191.44263799659,-115.095576993869
1424708637.3181183,-56306.812359444775,-115.1421418335023
1424708638.3181183,-56421.69180565339,-115.09553559198608
1424708639.3181183,-56536.97519504871,-115.12611126040343
1424708640.3181183,-56651.239061708395,-114.97934381881495
1424708641.3181183,-56765.643661091846,-114.87919159702346
1424708642.3181183,-56880.23324873339,-114.82679662284758
1424708643.3181183,-56994.147543382525,-114.66731313046434
1424708644.3181183,-57107.93384808924,-114.51401068648357
1424708645.3181183,-57221.388126010075,-114.32919801146028
1424708646.3181183,-57334.778479788234,-114.16588653841012
1424708647.3181183,-57447.612295514766,-113.9362046487945
1424708648.3181183,-57560.33983800754,-113.72830588718693
1424708649.3181183,-57672.94575756775,-113.5338896958388
1424708650.3181183,-57785.47124499199,-113.3593617741057
1424708651.3181183,-57897.46410397782,-113.12189950806187
1424708652.3181183,-58009.043402028976,-112.85539809399474
1424708653.3181183,-58120.60283609148,-112.6304778741261
1424708654.3181183,-58231.71006009965,-112.36781132841713
1424708655.3181183,-58341.91030246324,-111.9921065476457
1424708656.3181183,-58451.91716073669,-111.64676325052511
1424708657.3181183,-58561.8149561302,-111.34365442659322
1424708658.3181183,-58671.41727689048,-111.04363676830977
1424708659.3181183,-58780.49601644486,-110.70265937661883
1424708660.3181183,-58889.342204481145,-110.38217844816927
1424708661.3181183,-58997.646867168514,-110.02261134092547
1424708662.3181183,-59105.37463875556,-109.62486076489257
1424708663.3181183,-59212.214767675105,-109.14231995767885
1424708664.3181183,-59318.79582124774,-108.69893688801947
1424708665.3181183,-59423.694132395205,-108.04120772376162
1424708666.3181183,-59528.191198038745,-107.4283895130293
1424708667.3181183,-59632.28648191698,-106.85229472176204
1424708668.3181183,-59735.5707645498,-106.23856852814376
1424708669.3181183,-59837.38784239738,-105.47533975118807
1424708670.3181183,-59938.65004552498,-104.74964458257826
1424708671.3181183,-60038.70041143596,-103.93746663197037
1424708672.3181183,-60137.94012143777,-103.12085391682474
1424708673.3181183,-60236.50202840648,-102.32354484463501
1424708674.3181183,-60333.838838358395,-101.45529489153849
1424708675.3181183,-60430.027175600626,-100.54280396650687
1424708676.3181183,-60525.18247247399,-99.61307361975291
1424708677.3181183,-60619.32585372534,-98.66867146840868
1424708678.3181183,-60712.11661677312,-97.65654705932485
1424708679.3181183,-60804.24280385684,-96.70412637652424
1424708680.3181183,-60894.379092413124,-95.56898106961017
1424708681.3181183,-60983.45829434891,-94.44524623838804
1424708682.3181183,-61071.26406180395,-93.2965303950168
1424708683.3181183,-61157.5344354126,-92.0809806079838
1424708684.3181183,-61242.504747794526,-90.85650172435193
1424708685.3181183,-61325.328272965904,-89.47921084594822
1424708686.3181183,-61405.97169794657,-87.96599053978873
1424708687.3181183,-61485.31799008332,-86.4796598675647
1424708688.3181183,-61563.35030762177,-85.0089757895265
1424708689.3181183,-61639.37886369827,-83.44312300355473
1424708690.3181183,-61713.43743123207,-81.81220028492172
1424708691.3181183,-61785.08136357345,-80.05090169298137
1424708692.3181183,-61855.27100194412,-78.34221088221942
1424708693.3181183,-61923.301651249676,-76.5610427821985
1424708694.3181183,-61988.67319747503,-74.62732085474609
1424708695.3181183,-62052.16209779741,-72.69633030080054
1424708696.3181183,-62113.47180068069,-70.71901406610773
1424708697.3181183,-62172.66905055722,-68.7201328744454
1424708698.3181183,-62228.40543728783,-66.47601666137702
1424708699.3181183,-62282.071985706614,-64.2641542979887
1424708700.3181183,-62333.12416129794,-61.982466413210275
1424708701.3181183,-62381.30457133173,-59.598456426908875
1424708702.3181183,-62426.87980808824,-57.17109644210422
1424708703.3181183,-62469.18565035846,-54.59817184578128
1424708704.3181183,-62508.27481299545,-51.91687054541164
1424708705.3181183,-62544.99763401647,-49.28329470068817
1424708706.3181183,-62578.14143041253,-46.48225746961554
1424708707.3181183,-62608.4094043321,-43.66538953288048
1424708708.3181183,-62635.16694655515,-40.72869092675164
1424708709.3181183,-62658.31278722294,-37.680547998217335
1424708710.3181183,-62677.66384904458,-34.506155698671165
1424708711.3181183,-62693.12535763388,-31.20995196643435
1424708712.3181183,-62706.021891880126,-28.02429024371747
1424708713.3181183,-62715.75467550038,-24.839287503980653
1424708714.3181183,-62720.393637860936,-21.33816414838977
1424708715.3181183,-62721.770972941755,-17.890393238469343
1424708716.3181183,-62718.36979593858,-14.213919248598927
1424708717.3181183,-62712.23606151015,-10.678870209022252
1424708718.3181183,-62702.34861501771,-7.090745841120977
1424708719.3181183,-62686.69801120537,-3.136349319613656
1424708720.3181183,-62668.235497544985,0.6274594127599729
1424708721.3181183,-62646.57097079629,4.281643955827948
1424708722.3181183,-62618.27226831487,8.423276438591092
1424708723.3181183,-62586.5033380692,12.452275652483301
1424708724.3181183,-62550.65625597264,16.49546726328665
1424708725.3181183,-62510.09957832594,20.657746889810532
1424708726.3181183,-62467.04317552086,24.558170616554563
1424708727.3181183,-62419.85538604737,28.499729822468826
1424708728.3181183,-62367.1600474886,32.69366280298138
1424708729.3181183,-62309.32180460567,37.04079417028063
1424708730.3181183,-62248.2453368506,41.2078520872786
1424708731.3181183,-62182.356484122975,45.48984858854939
1424708732.3181183,-62113.68906324345,49.52761670380895
1424708733.3181183,-62039.478420790205,53.81603528430081
1424708734.3181183,-61961.55313494959,58.001800898854924
1424708735.3181183,-61880.50089990793,62.01186478062653
1424708736.3181183,-61794.55609167057,66.16920696727445
1424708737.3181183,-61704.99540772668,70.22979990625157
1424708738.3181183,-61610.07266569349,74.51816672958275
1424708739.3181183,-61513.0399254194,78.45192044816004
1424708740.3181183,-61411.81269486637,82.43816707755784
1424708741.3181183,-61309.06843302342,85.99465416333469
1424708742.3181183,-61201.278724716554,89.78502280834925
1424708743.3181183,-61088.59675556209,93.743155070107
1424708744.3181183,-60973.744715917004,97.39411721467467
1424708745.3181183,-60856.848016421514,100.7689640602932
1424708746.3181183,-60734.51460598422,104.4760203728334
1424708747.3181183,-60607.497514678435,108.34328529239889
1424708748.3181183,-60481.46558626469,111.41421837273181
1424708749.3181183,-60351.55142982884,114.62421892462716
1424708750.3181183,-60218.36230198362,117.83277821054855
1424708751.3181183,-60082.04447162396,121.01857694916256
1424708752.3181183,-59943.35155128032,124.07808668639174
1424708753.3181183,-59803.586201582126,126.81990892111739
1424708754.3181183,-59662.58381140334,129.3021271215329
1424708755.3181183,-59518.42771845708,131.87088725431548
1424708756.3181183,-59370.11600823233,134.68798084203058
1424708757.3181183,-59222.14681857161,136.983051746362
1424708758.3181183,-59072.467430687575,139.1879649826711
1424708759.3181183,-58920.254180710894,141.45047419465243
1424708760.3181183,-58768.33381605736,143.28336075596138
1424708761.3181183,-58613.75353745477,145.24972384451462
1424708762.3181183,-58457.53749519237,147.15676129554544
1424708763.3181183,-58300.80822223474,148.82695165324958
1424708764.3181183,-58143.17979064601,150.35737639659413
1424708765.3181183,-57983.27343211511,152.0023778595155
1424708766.3181183,-57822.067570228995,153.58912275206632
1424708767.3181183,-57660.92316783144,154.90163184569593
1424708768.3181183,-57498.06978306913,156.280657009596
1424708769.3181183,-57333.90026869607,157.65580254151303
1424708770.3181183,-57170.258414780394,158.71092641530993
1424708771.3181183,-57005.60142278078,159.7586726611369
1424708772.3181183,-56840.717840510544,160.6560095987682
1424708773.3181183,-56674.370630462574,161.64213952173952
1424708774.3181183,-56507.994780883615,162.4596507193057
1424708775.3181183,-56341.87334661574,163.09505834103388
1424708776.3181183,-56174.680442096076,163.8040096394254
1424708777.3181183,-56007.771655488556,164.34060800844705
1424708778.3181183,-55840.44411810934,164.85610226032486
1424708779.3181183,-55672.94101925524,165.31452272513465
1424708780.3181183,-55505.45667390601,165.69175736815015
1424708781.3181183,-55338.09548787048,165.9829661642445
1424708782.3181183,-55170.51189897245,166.26319716752744
1424708783.3181183,-55003.475207128424,166.39823489210872
