Receiver Time [s],Clock Bias [m],ClockDrift [m/s]
1426173568.4457316,0.0,0.0
1426173569.4457316,-9732.635178988894,-0.9731667259800346
1426173570.4457316,-9814.170435353954,-81.42668138660326
1426173571.4457316,-9895.76671175715,-81.52873683493368
1426173572.4457316,-9974.624176180905,-80.38459320013114
1426173573.4457316,-10050.694058501698,-78.94939563699734
1426173574.4457316,-10124.487794991317,-77.54553670681878
1426173575.4457316,-10193.885132773625,-75.66598217194286
1426173576.4457316,-10260.642254686478,-73.88002020561176
1426173577.4457316,-10325.115520954412,-72.20642794947317
1426173578.4457316,-10385.628781225634,-70.33191456851044
1426173579.4457316,-10442.844749306098,-68.41296992525072
1426173580.4457316,-10496.365337801542,-66.40011499819138
1426173581.4457316,-10545.82889134083,-64.2640528204398
1426173582.4457316,-10590.958096477774,-61.99056147875034
1426173583.4457316,-10632.683701583215,-59.7007884162424
1426173584.4457316,-10671.472865626274,-57.434661947266726
1426173585.4457316,-10704.916013157448,-54.923666105258874
1426173586.4457316,-10733.643143838035,-52.25736630588267
1426173587.4457316,-10759.492890251517,-49.6260090206005
1426173588.4457316,-10779.83183576023,-46.755156314231975
1426173589.4457316,-10794.215274554292,-43.61985752812869
1426173590.4457316,-10804.71616848119,-40.43779990930695
1426173591.4457316,-10808.358202686217,-36.92122146020915
1426173592.4457316,-10806.703200899832,-33.243753461677734
1426173593.4457316,-10799.527708965907,-29.392357884609677
1426173594.4457316,-10786.719226241124,-25.366788676449943
1426173595.4457316,-10768.893266652994,-21.239521206853503
1426173596.4457316,-10744.128664590657,-16.83567620149549
1426173597.4457316,-10712.778564502416,-12.21411575671268
1426173598.4457316,-10675.012686910957,-7.4101252031432985
1426173599.4457316,-10632.718828628684,-2.622500143046678
1426173600.4457316,-10581.240187073354,2.596279040426272
1426173601.4457316,-10525.318456845582,7.749232618405173
1426173602.4457316,-10462.818082520665,13.047522443389179
1426173603.4457316,-10393.435216110503,18.506508721017177
1426173604.4457316,-10318.363337456882,23.99625869485718
1426173605.4457316,-10239.624539457414,29.317982296763134
1426173606.4457316,-10154.229678069598,34.776147530836724
1426173607.4457316,-10066.738295611947,39.911297431896514
1426173608.4457316,-9973.685892003055,45.08756888538321
1426173609.4457316,-9877.035049821761,50.10624829088329
1426173610.4457316,-9772.046947907798,55.43816005917092
1426173611.4457316,-9663.985997509291,60.543047758298464
1426173612.4457316,-9550.064820051373,65.71351178793066
1426173613.4457316,-9225.063479655419,84.9401867006373
1426173614.4457316,-9112.344562058539,92.52597114193489
1426173615.4457316,-8989.338824880952,102.19908314894562
1426173616.4457316,-8861.545008239013,110.04054679204064
1426173617.4457316,-8732.951628584711,115.49211862528533
1426173618.4457316,-8603.540199011877,119.53383465917491
1426173619.4457316,-8473.394869088881,122.67875510139554
1426173620.4457316,-8341.792223156728,125.38155486704359
1426173621.4457316,-8208.678644675845,127.77568183830637
1426173622.4457316,-8074.368909160667,129.8330199717744
1426173623.4457316,-7938.377313214568,131.7815963752816
1426173624.4457316,-7800.694488496548,133.65228140574953
1426173625.4457316,-7662.036033681268,135.23910528571835
1426173626.4457316,-7522.559777240992,136.5795662864241
1426173627.4457316,-7382.1479464973545,137.79804608769857
1426173628.4457316,-7240.77364476829,138.92339232460404
1426173629.4457316,-7098.905763108085,139.84664308081454
1426173630.4457316,-6956.776412142267,140.56404739436954
1426173631.4457316,-6814.090059370492,141.2360799020331
1426173632.4457316,-6671.011101277706,141.80521500703253
1426173633.4457316,-6527.5601568558195,142.31658669061554
1426173634.4457316,-6383.939436505325,142.71463421488045
1426173635.4457316,-6240.16912104876,143.02465866197255
1426173636.4457316,-6096.169430226518,143.31469776411038
1426173637.4457316,-5952.501343544492,143.40756887711433
1426173638.4457316,-5809.051107831914,143.39767715802427
1426173639.4457316,-5666.051927795556,143.24749468151188
1426173640.4457316,-5523.363523980633,143.04446872877406
1426173641.4457316,-5380.965025791303,142.8154176435046
1426173642.4457316,-5239.246792363452,142.4439945800568
1426173643.4457316,-5098.129304995582,142.00008213640405
1426173644.4457316,-4957.524835793868,141.53422733244557
1426173645.4457316,-4817.829012755804,140.92706451690572
1426173646.4457316,-4678.85352860006,140.28153366195755
1426173647.4457316,-4540.539472666839,139.6315303976352
1426173648.4457316,-4403.158025499452,138.8897870434683
1426173649.4457316,-4266.658949675844,138.0963569129462
1426173650.4457316,-4130.733591715821,137.38421764282725
1426173651.4457316,-3995.844630508494,136.56724945553285
1426173652.4457316,-3861.927164767057,135.7017498931536
1426173653.4457316,-3729.091956298909,134.7699310196287
1426173654.4457316,-3597.139251261762,133.85067561797692
1426173655.4457316,-3466.157659359843,132.90942839345553
1426173656.4457316,-3335.9450089266197,132.02307965889335
1426173657.4457316,-3207.1367025476534,130.97732966205763
1426173658.4457316,-3079.535418514907,129.8707226293899
1426173659.4457316,-2952.8565820155354,128.8284138107914
1426173660.4457316,-2827.4154741292555,127.72468377271063
1426173661.4457316,-2702.935148253807,126.66661458410364
1426173662.4457316,-2579.533307633611,125.60358869213142
1426173663.4457316,-2457.1237238647263,124.5650225463725
1426173664.4457316,-2335.7753815969645,123.52790811068367
1426173665.4457316,-2215.7433592781867,122.39651146637198
1426173666.4457316,-2096.9295321693357,121.23104183650895
1426173667.4457316,-1979.2267021108014,120.08499029410004
1426173668.4457316,-1862.5278640208917,118.97504301373864
1426173669.4457316,-1747.0196643329684,117.84397666830405
1426173670.4457316,-1632.788653880508,116.67432049044888
1426173671.4457316,-1519.971121973968,115.41873795696966
1426173672.4457316,-1408.3026207685573,114.19650487916373
1426173673.4457316,-1297.5175254737971,113.07795139417398
1426173674.4457316,-1188.1256905118462,111.87162617527173
1426173675.4457316,-1079.9752940710057,110.6545295933097
1426173676.4457316,-972.9971832699844,109.45178656950954
1426173677.4457316,-867.006799584317,108.32822369869652
1426173678.4457316,-762.2139059350269,107.17878556107345
1426173679.4457316,-658.5253091234631,106.04611005874528
1426173680.4457316,-556.1400255904464,104.85622040764761
1426173681.4457316,-454.6364175548816,103.76641595861848
1426173682.4457316,-354.42497790781925,102.61436323351035
1426173683.4457316,-255.3321032030455,101.4737238558786
1426173684.4457316,-157.31533171871178,100.35158466769191
1426173685.4457316,-60.63569465014879,99.16017849187801
1426173686.4457316,34.91991956129148,97.98740744473321
1426173687.4457316,129.3913848370911,96.84515039454419
1426173688.4457316,222.6562783232944,95.68394371825987
1426173689.4457316,314.855900113388,94.55976018419696
1426173690.4457316,405.90438645638955,93.42494408893178
1426173691.4457316,495.95341777673815,92.32574542677379
1426173692.4457316,584.8373465523116,91.20239962599007
1426173693.4457316,672.6203396743344,90.08696277631284
1426173694.4457316,759.4973501688283,89.04179738232563
1426173695.4457316,845.3225656667358,88.00105085516415
1426173696.4457316,929.8824545576855,86.89212020019559
1426173697.4457316,1013.5647630127005,85.85615521448946
1426173698.4457316,1096.562282731297,84.93019285250122
1426173699.4457316,1178.49074757328,83.95892972781303
1426173700.4457316,1259.5443665787964,83.01513801092187
1426173701.4457316,1339.6547820960827,82.07197705503087
1426173702.4457316,1418.657383451161,81.07905298197005
1426173703.4457316,1496.8121461957162,80.13022745062425
1426173704.4457316,1574.1448779141367,79.22011378607337
1426173705.4457316,1650.7064488994195,78.3562949949783
1426173706.4457316,1725.9791205078545,77.35532539404579
1426173707.4457316,1800.4409852174351,76.41713833061097
