rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1420991598.4370234,0,32,316800,316800,0,23,23
1420991606.4370234,1,32,315000,315000,0,0,0
1420991611.4370234,2,3,316381,316381,0,0,0
1420991612.4370234,2,15,316381,316381,0,0,0
1420991616.4370234,2,15,315600,315600,18,0,0
1420991617.4370234,2,3,316381,316381,0,0,0
1420991618.4370234,2,15,315600,315600,18,0,0
1420991621.4370234,2,3,316381,316381,0,0,0
1420991622.4370234,2,15,315600,315600,18,0,0
1420991625.4370234,2,3,315600,315600,18,0,0
1420991628.4370234,0,27,316800,316800,0,114,114
1420991637.4370234,2,3,315600,315600,18,0,0
1420991638.4370234,2,15,315600,315600,18,0,0
1420991647.4370234,2,3,315600,315600,18,0,0
1420991658.4370234,0,16,316800,316800,0,53,53
1420991667.4370234,2,3,315600,315600,18,0,0
1420991677.4370234,2,3,315600,315600,18,0,0
1420991678.4370234,2,15,315600,315600,18,0,0
1420991678.4370234,1,32,315000,315000,0,0,0
1420991681.4370234,2,3,315600,315600,18,0,0
1420991682.4370234,2,15,315600,315600,18,0,0
1420991683.4370234,1,24,314700,314700,0,0,0
1420991690.4370234,3,3,315600,315600,18,0,0
1420991697.4370234,2,3,315600,315600,18,0,0
1420991706.4370234,0,24,316784,316784,0,9,9
1420991707.4370234,2,3,315600,315600,18,0,0
1420991727.4370234,2,3,315600,315600,18,0,0
1420991728.4370234,2,15,315600,315600,18,0,0
1420991737.4370234,2,3,315600,315600,18,0,0
1420991741.4370234,2,3,315600,315600,18,0,0
1420991747.4370234,2,7,316531,316531,0,0,0
1420991755.4370234,2,7,315600,315600,18,0,0
1420991757.4370234,2,3,315600,315600,18,0,0
1420991757.4370234,2,7,315600,315600,18,0,0
1420991767.4370234,2,3,315600,315600,18,0,0
1420991767.4370234,2,7,315600,315600,18,0,0
1420991787.4370234,2,3,315600,315600,18,0,0
1420991787.4370234,2,7,315600,315600,18,0,0
1420991797.4370234,2,3,315600,315600,18,0,0
1420991797.4370234,2,7,315600,315600,18,0,0
1420991801.4370234,2,3,315600,315600,18,0,0
1420991801.4370234,2,7,315600,315600,18,0,0
1420991816.4370234,1,27,315000,315000,0,0,0
1420991817.4370234,2,3,315600,315600,18,0,0
1420991817.4370234,2,7,315600,315600,18,0,0
1420991827.4370234,2,3,315600,315600,18,0,0
1420991827.4370234,2,7,315600,315600,18,0,0
1420991828.4370234,2,15,315600,315600,18,0,0
1420991847.4370234,2,3,315600,315600,18,0,0
1420991847.4370234,2,7,315600,315600,18,0,0
1420991848.4370234,2,15,315600,315600,18,0,0
1420991857.4370234,2,3,315600,315600,18,0,0
1420991857.4370234,2,7,315600,315600,18,0,0
1420991858.4370234,2,15,315600,315600,18,0,0
1420991861.4370234,2,3,315600,315600,18,0,0
1420991861.4370234,2,7,315600,315600,18,0,0
