rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1422314598.7351635,0,11,432000,432000,0,75,587
1422314606.7351635,1,11,430200,430200,0,0,0
1422314658.7351635,0,20,432000,432000,0,76,76
1422314701.7351635,1,11,430200,430200,0,0,0
1422314706.7351635,0,15,431984,431984,0,2,2
1422314749.7351635,1,11,430200,430200,0,0,0
1422314856.7351635,0,13,431984,431984,0,27,27
1422315048.7351635,0,13,431984,431984,0,27,27
1422315075.7351635,2,30,429600,429600,81,0,0
1422315084.7351635,0,15,431984,431984,0,2,2
1422315084.7351635,0,13,431984,431984,0,27,27
1422315084.7351635,0,20,432000,432000,0,76,76
1422315084.7351635,0,11,432000,432000,0,75,587
1422315087.7351635,2,30,429600,429600,81,0,0
1422315097.7351635,2,30,429600,429600,81,0,0
1422315101.7351635,2,30,429600,429600,81,0,0
1422315117.7351635,2,30,429600,429600,81,0,0
1422315127.7351635,2,30,429600,429600,81,0,0
1422315147.7351635,2,30,429600,429600,81,0,0
1422315157.7351635,2,30,429600,429600,81,0,0
1422315161.7351635,2,30,429600,429600,81,0,0
1422315177.7351635,2,30,429600,429600,81,0,0
1422315187.7351635,2,30,429600,429600,81,0,0
1422315207.7351635,2,30,429600,429600,81,0,0
1422315217.7351635,2,30,429600,429600,81,0,0
1422315221.7351635,2,30,429600,429600,81,0,0
1422315230.7351635,1,24,430200,430200,0,0,0
1422315230.7351635,1,11,430200,430200,0,0,0
1422315237.7351635,2,30,429600,429600,81,0,0
1422315247.7351635,2,30,429600,429600,81,0,0
1422315252.7351635,0,24,432000,432000,0,38,38
1422315267.7351635,2,30,429600,429600,81,0,0
1422315277.7351635,2,30,429600,429600,81,0,0
1422315281.7351635,2,30,429600,429600,81,0,0
1422315297.7351635,2,30,429600,429600,81,0,0
1422315307.7351635,2,30,429600,429600,81,0,0
1422315327.7351635,2,30,429600,429600,81,0,0
1422315337.7351635,2,30,429600,429600,81,0,0
1422315341.7351635,2,30,429600,429600,81,0,0
1422315357.7351635,2,30,429600,429600,81,0,0
1422315362.7351635,2,15,430531,430531,0,0,0
1422315367.7351635,2,30,429600,429600,81,0,0
1422315368.7351635,2,15,430531,430531,0,0,0
1422315376.7351635,2,15,429600,429600,81,0,0
1422315387.7351635,2,30,429600,429600,81,0,0
1422315388.7351635,2,15,429600,429600,81,0,0
1422315397.7351635,2,30,429600,429600,81,0,0
1422315398.7351635,2,15,429600,429600,81,0,0
1422315401.7351635,2,30,429600,429600,81,0,0
1422315402.7351635,2,15,429600,429600,81,0,0
1422315417.7351635,2,30,429600,429600,81,0,0
1422315418.7351635,2,15,429600,429600,81,0,0
1422315427.7351635,2,30,429600,429600,81,0,0
1422315428.7351635,2,15,429600,429600,81,0,0
1422315441.7351635,3,15,429600,429600,81,0,0
1422315447.7351635,2,30,429600,429600,81,0,0
1422315448.7351635,2,15,429600,429600,81,0,0
1422315457.7351635,2,30,429600,429600,81,0,0
1422315458.7351635,2,15,429600,429600,81,0,0
1422315461.7351635,2,30,429600,429600,81,0,0
1422315462.7351635,2,15,429600,429600,81,0,0
1422315477.7351635,2,30,429600,429600,81,0,0
1422315478.7351635,2,15,429600,429600,81,0,0
1422315487.7351635,2,30,429600,429600,81,0,0
1422315488.7351635,2,15,429600,429600,81,0,0
1422315507.7351635,2,30,429600,429600,81,0,0
1422315508.7351635,2,15,429600,429600,81,0,0
1422315517.7351635,2,30,429600,429600,81,0,0
1422315518.7351635,2,15,429600,429600,81,0,0
1422315521.7351635,2,30,429600,429600,81,0,0
1422315522.7351635,2,15,429600,429600,81,0,0
