rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1423541936.541542,2,26,445200,445200,107,0,0
1423541938.541542,2,26,445200,445200,107,0,0
1423541948.42022,2,26,445200,445200,107,0,0
1423541968.42022,2,26,445200,445200,107,0,0
1423541978.42022,2,26,445200,445200,107,0,0
1423541982.42022,2,26,445200,445200,107,0,0
1423541991.42022,3,26,445200,445200,107,0,0
1423541998.42022,2,26,445200,445200,107,0,0
1423542008.42022,2,26,445200,445200,107,0,0
1423542028.42022,2,26,445200,445200,107,0,0
1423542038.42022,2,26,445200,445200,107,0,0
1423542042.42022,2,26,445200,445200,107,0,0
1423542058.42022,2,26,445200,445200,107,0,0
1423542068.42022,2,26,445200,445200,107,0,0
1423542088.42022,2,26,445200,445200,107,0,0
1423542098.42022,2,26,445200,445200,107,0,0
1423542102.42022,2,26,445200,445200,107,0,0
1423542118.42022,2,26,445200,445200,107,0,0
1423542128.42022,2,26,445200,445200,107,0,0
1423542131.42022,3,26,445200,445200,107,0,0
1423542148.42022,2,26,445200,445200,107,0,0
1423542158.42022,2,26,445200,445200,107,0,0
1423542162.42022,2,26,445200,445200,107,0,0
1423542178.42022,2,26,445200,445200,107,0,0
1423542188.42022,2,26,445200,445200,107,0,0
1423542208.42022,2,26,445200,445200,107,0,0
1423542218.42022,2,26,445200,445200,107,0,0
1423542222.42022,2,26,445200,445200,107,0,0
1423542238.42022,2,26,445200,445200,107,0,0
1423542248.42022,2,26,445200,445200,107,0,0
1423542268.42022,2,26,445200,445200,107,0,0
1423542278.42022,2,26,445200,445200,107,0,0
1423542282.42022,2,26,445200,445200,107,0,0
1423542298.42022,2,26,445200,445200,107,0,0
1423542308.42022,2,26,445200,445200,107,0,0
1423542328.42022,2,26,445200,445200,107,0,0
1423542338.42022,2,26,445200,445200,107,0,0
1423542342.42022,2,26,445200,445200,107,0,0
1423542358.42022,2,26,445200,445200,107,0,0
1423542368.42022,2,26,445200,445200,107,0,0
1423542388.42022,2,26,445200,445200,107,0,0
1423542398.42022,2,26,445200,445200,107,0,0
1423542402.42022,2,26,445200,445200,107,0,0
1423542418.42022,2,26,445200,445200,107,0,0
1423542428.42022,2,26,445200,445200,107,0,0
1423542448.42022,2,26,445200,445200,107,0,0
1423542458.42022,2,26,445200,445200,107,0,0
1423542462.42022,2,26,445200,445200,107,0,0
1423542478.42022,2,26,445200,445200,107,0,0
1423542488.42022,2,26,445200,445200,107,0,0
1423542508.42022,2,26,445200,445200,107,0,0
1423542518.42022,2,26,445200,445200,107,0,0
1423542522.42022,2,26,445200,445200,107,0,0
1423542538.42022,2,26,445200,445200,107,0,0
1423542548.42022,2,26,445200,445200,107,0,0
1423542568.42022,2,26,445200,445200,107,0,0
1423542578.42022,2,26,445200,445200,107,0,0
1423542582.42022,2,26,445200,445200,107,0,0
1423542598.42022,2,26,445200,445200,107,0,0
