rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1425110119.3041782,0,23,201600,201600,0,231,743
1425110127.3041782,1,23,199800,199800,0,0,0
1425110335.3041782,0,23,201600,201600,0,231,743
1425110419.3041782,0,23,208800,208800,0,232,744
1425110421.3041782,1,23,207000,207000,0,0,0
1425111085.3041782,0,23,208800,208800,0,232,744
1425111753.3041782,2,16,202951,202951,0,0,0
1425111757.3041782,2,16,201000,201000,81,0,0
1425111759.3041782,2,16,201000,201000,81,0,0
1425111763.3041782,2,16,201000,201000,81,0,0
1425111769.3041782,0,26,208800,208800,0,100,100
1425111779.3041782,2,16,201000,201000,81,0,0
1425111782.3041782,1,26,207000,207000,0,0,0
1425111789.3041782,2,16,201000,201000,81,0,0
1425111809.3041782,2,16,201000,201000,81,0,0
1425111819.3041782,2,16,201000,201000,81,0,0
1425111822.3041782,3,16,201000,201000,81,0,0
1425111823.3041782,2,16,201000,201000,81,0,0
1425111835.3041782,0,26,208800,208800,0,100,100
1425111835.3041782,0,23,208800,208800,0,232,744
1425111839.3041782,2,16,201000,201000,81,0,0
1425111849.3041782,2,16,201000,201000,81,0,0
1425111869.3041782,2,16,201000,201000,81,0,0
1425111879.3041782,2,16,201000,201000,81,0,0
1425111883.3041782,2,16,201000,201000,81,0,0
1425111899.3041782,2,16,201000,201000,81,0,0
1425111909.3041782,2,16,201000,201000,81,0,0
1425111929.3041782,2,16,201000,201000,81,0,0
1425111939.3041782,2,16,201000,201000,81,0,0
1425111943.3041782,2,16,201000,201000,81,0,0
1425111959.3041782,2,16,201000,201000,81,0,0
1425111969.3041782,2,16,201000,201000,81,0,0
1425111989.3041782,2,16,201000,201000,81,0,0
1425111999.3041782,2,16,201000,201000,81,0,0
1425112003.3041782,2,16,201000,201000,81,0,0
1425112019.3041782,2,16,201000,201000,81,0,0
1425112029.3041782,2,16,201000,201000,81,0,0
1425112049.3041782,2,16,201000,201000,81,0,0
1425112059.3041782,2,16,201000,201000,81,0,0
1425112063.3041782,2,16,201000,201000,81,0,0
1425112079.3041782,2,16,201000,201000,81,0,0
1425112089.3041782,2,16,201000,201000,81,0,0
1425112109.3041782,2,16,201000,201000,81,0,0
1425112119.3041782,2,16,201000,201000,81,0,0
1425112123.3041782,2,16,201000,201000,81,0,0
1425112139.3041782,2,16,201000,201000,81,0,0
1425112149.3041782,2,16,201000,201000,81,0,0
1425112169.3041782,2,16,201000,201000,81,0,0
1425112179.3041782,2,16,201000,201000,81,0,0
1425112183.3041782,2,16,201000,201000,81,0,0
1425112199.3041782,2,16,201000,201000,81,0,0
1425112209.3041782,2,16,201000,201000,81,0,0
1425112229.3041782,2,16,201000,201000,81,0,0
1425112239.3041782,2,16,201000,201000,81,0,0
1425112243.3041782,2,16,201000,201000,81,0,0
1425112259.3041782,2,16,201000,201000,81,0,0
1425112269.3041782,2,16,201000,201000,81,0,0
1425112289.3041782,2,16,201000,201000,81,0,0
1425112299.3041782,2,16,201000,201000,81,0,0
1425112303.3041782,2,16,201000,201000,81,0,0
1425112319.3041782,2,16,201000,201000,81,0,0
1425112329.3041782,2,16,201000,201000,81,0,0
1425112349.3041782,2,16,201000,201000,81,0,0
1425112359.3041782,2,16,201000,201000,81,0,0
1425112363.3041782,2,16,201000,201000,81,0,0
1425112379.3041782,2,16,201000,201000,81,0,0
1425112389.3041782,2,16,201000,201000,81,0,0
1425112409.3041782,2,16,201000,201000,81,0,0
1425112419.3041782,2,16,201000,201000,81,0,0
1425112423.3041782,2,16,201000,201000,81,0,0
1425112439.3041782,2,16,201000,201000,81,0,0
1425112449.3041782,2,16,201000,201000,81,0,0
1425112469.3041782,2,16,201000,201000,81,0,0
1425112479.3041782,2,16,201000,201000,81,0,0
1425112483.3041782,2,16,201000,201000,81,0,0
1425112499.3041782,2,16,201000,201000,81,0,0
1425112509.3041782,2,16,201000,201000,81,0,0
1425112529.3041782,2,16,201000,201000,81,0,0
1425112539.3041782,2,16,201000,201000,81,0,0
1425112542.3041782,3,16,201000,201000,81,0,0
1425112543.3041782,2,16,201000,201000,81,0,0
1425112551.3041782,1,26,207000,207000,0,0,0
1425112559.3041782,2,16,201000,201000,81,0,0
1425112586.3041782,0,26,208800,208800,0,100,100
1425112599.3041782,1,26,207000,207000,0,0,0
1425112647.3041782,1,26,207000,207000,0,0,0
1425112743.3041782,1,26,207000,207000,0,0,0
1425113119.3041782,2,24,204301,204301,0,0,0
1425113129.3041782,2,24,204301,204301,0,0,0
1425113133.3041782,2,24,204331,204331,0,0,0
1425113135.3041782,2,24,203400,203400,85,0,0
1425113139.3041782,2,24,203400,203400,85,0,0
1425113143.3041782,2,24,203400,203400,85,0,0
1425113159.3041782,2,24,203400,203400,85,0,0
1425113169.3041782,2,24,203400,203400,85,0,0
1425113189.3041782,2,24,203400,203400,85,0,0
1425113199.3041782,2,24,203400,203400,85,0,0
1425113203.3041782,2,24,203400,203400,85,0,0
1425113219.3041782,2,24,203400,203400,85,0,0
1425113229.3041782,2,24,203400,203400,85,0,0
1425113249.3041782,2,24,203400,203400,85,0,0
1425113259.3041782,2,24,203400,203400,85,0,0
1425113263.3041782,2,24,203400,203400,85,0,0
1425113279.3041782,2,24,203400,203400,85,0,0
1425113289.3041782,2,24,203400,203400,85,0,0
1425113292.3041782,3,24,203400,203400,85,0,0
1425113309.3041782,2,24,203400,203400,85,0,0
