rxTime,wn,tow,decimals,posX,posY,posZ
1425019913.29617,2356,111113,0.296174725794117,-178095453.444136,304898391.625712,82547552.8136242
1425019914.29617,2356,111114,0.296174725794117,-178074687.319789,304912000.479619,82548337.0955706
1425019915.29617,2356,111115,0.296174725794117,-178047003.47336,304913652.198566,82545892.4584281
1425019916.29617,2356,111116,0.296174725794117,-178031120.067934,304935636.209654,82548924.8516713
1425019917.29617,2356,111117,0.296174725794117,-178009675.779099,304948072.129696,82549391.4320555
1425019918.29617,2356,111118,0.296174725794117,-177986440.795464,304957429.746191,82548993.5780763
1425019919.29617,2356,111119,0.296174725794117,-177963014.562654,304966432.120953,82548554.7863525
1425019920.29617,2356,111120,0.296174725794117,-177943536.062386,304982183.493727,82549926.2858014
1425019921.29617,2356,111121,0.296174725794117,-177922365.80721,304995096.839026,82550512.6263591
1425019922.29617,2356,111122,0.296174725794117,-177901704.714131,305008845.526082,82551371.6810121
1425019923.29617,2356,111123,0.296174725794117,-177878779.408811,305018759.964326,82551131.037313
1425019924.29617,2356,111124,0.296174725794117,-177859066.742513,305034118.87183,82552395.6705789
1425019925.29617,2356,111125,0.296174725794117,-177837018.503012,305045414.971443,82552596.6742406
1425019926.29617,2356,111126,0.296174725794117,-177819267.417122,305064241.919603,82554792.0461513
1425019927.29617,2356,111127,0.296174725794117,-177795118.690762,305071985.756543,82553993.5242068
1425019928.29617,2356,111128,0.296174725794117,-177767608.453575,305074038.180101,82551591.8997846
1425019929.29617,2356,111129,0.296174725794117,-177752687.888436,305097592.185586,82555142.1789601
1425019930.29617,2356,111130,0.296174725794117,-177726148.498537,305101283.602542,82553212.1417066
1425019931.29617,2356,111131,0.296174725794117,-177710197.616733,305123158.875982,82556250.5668663
1425019932.29617,2356,111132,0.296174725794117,-177689712.029742,305137129.901726,82557190.7803822
1425019933.29617,2356,111133,0.296174725794117,-177663442.189319,305141314.916809,82555340.9845331
1425019934.29617,2356,111134,0.296174725794117,-177639914.496202,305150127.384043,82554855.9397769
1425019935.29617,2356,111135,0.296174725794117,-177624445.260859,305172831.064434,82558124.3665733
1425019936.29617,2356,111136,0.296174725794117,-177600516.214784,305180975.495183,82557433.5529515
1425019937.29617,2356,111137,0.296174725794117,-177578876.550953,305193066.344183,82557832.4068516
1425019938.29617,2356,111138,0.296174725794117,-177555492.249302,305202116.669072,82557365.3217095
1425019939.29617,2356,111139,0.296174725794117,-177530292.228074,305207981.426612,82556117.7332024
